"año_cd","ccaa_cd","zbs_residencia_cd","grupo_edad_cd","sexo_cd","tsi_cd","n_poblacion"
2020,"ES24",3611,14,1,6,2530
2014,"ES24",2509,17,2,8,5758
2013,"ES24",2518,4,1,8,7623
2014,"ES24",5405,11,1,4,1289
2022,"ES24",1208,5,2,0,6762
2013,"ES24",4803,13,1,8,8902
2014,"ES24",1201,9,2,1,2231
2014,"ES24",3613,16,2,4,6304
2018,"ES24",1113,2,2,5,8701
2016,"ES24",3601,13,2,5,1449
2013,"ES24",4909,1,1,0,2718
2013,"ES24",2520,14,1,6,3201
2013,"ES24",3605,1,1,5,6899
2018,"ES24",5409,8,1,0,2978
2022,"ES24",4809,17,2,5,823
2020,"ES24",4807,18,1,0,5246
2022,"ES24",4805,3,2,1,753
2020,"ES24",5412,3,1,6,7247
2015,"ES24",3705,17,1,7,7156
2014,"ES24",3616,12,2,2,5045
2015,"ES24",4804,12,1,5,2721
2014,"ES24",3617,16,1,2,7919
2013,"ES24",3609,2,2,2,4020
2021,"ES24",3710,2,1,7,1498
2020,"ES24",2520,1,2,2,2340
2016,"ES24",2520,1,1,3,8630
2014,"ES24",3612,18,1,5,6121
2021,"ES24",5411,8,2,5,3718
2020,"ES24",3701,4,1,1,8706
2014,"ES24",3609,13,1,1,9622
2022,"ES24",1213,9,2,0,6180
2014,"ES24",1209,17,1,7,2135
2021,"ES24",4808,18,2,4,5137
2022,"ES24",5410,8,1,1,1683
2013,"ES24",2518,9,2,0,7962
2017,"ES24",1113,10,2,5,3398
2021,"ES24",4907,3,2,4,5062
2014,"ES24",3617,3,1,0,8904
2017,"ES24",3615,10,1,2,5698
2020,"ES24",5411,11,2,7,2848
2018,"ES24",4813,11,1,5,9683
2017,"ES24",3701,14,1,8,719
2016,"ES24",2508,16,2,6,9947
2016,"ES24",4803,2,2,3,743
2020,"ES24",1215,15,1,0,1779
2021,"ES24",1106,14,2,8,2018
2013,"ES24",1210,18,1,5,2920
2021,"ES24",4902,11,2,7,6023
2014,"ES24",3604,7,2,8,3604
2013,"ES24",1209,7,1,0,5928
2018,"ES24",1203,7,1,4,2867
2015,"ES24",2510,9,1,1,9103
