"codigo_nacional_farmaco_cd"|"codigo_descripcion"|"atc_farmaco_dispensado_cd"|"ddd_nomenclator_nm"|"ddd_por_envase"|"pvp_nomenclator_nm"|"precio_por_envase_nm"|"clase_aware_cd"
"994921"|"BACIMEX 1000MG IV 1 INYECTABLE 3,2ML"|"J01CR01"|6000|0.17|4.46|4.46|"Access"
"994913"|"BACIMEX 1000MG IM 1 INYECTABLE 3,2ML"|"J01CR01"|6000|0.17|4.25|4.25|"Access"
"994939"|"BACIMEX 2000MG IM 1 INYECTABLE 6,4ML"|"J01CR01"|6000|0.33|6.74|6.74|"Access"
"994566"|"UNASYN 250MG IM 1 INYECTABLE 0,8ML"|"J01CR01"|6000|0.04|2.15|2.15|"Access"
"994574"|"UNASYN 500MG IM 1 INYECTABLE 1,6ML"|"J01CR01"|6000|0.08|2.56|2.56|"Access"
"994590"|"UNASYN INTRAMUSCULAR 1G 1 VIAL 3,2ML POLVO+DISOLV SOLUC INY"|"J01CR01"|6000|0.17|4|4|"Access"
"994897"|"BACIMEX 500MG IM 1 INYECTABLE 1,6ML"|"J01CR01"|6000|0.08|2.56|2.56|"Access"
"943191"|"AMOXIMEDICAL 125MG/5ML 120ML SUSPENSION EXTEMPORANEA POLVO"|"J01CA04"|1500|2|2.31|2.31|"Access"
"619767"|"AMOXICILINA/CLAVULANICO BIOCHEMIE 500MG/125MG 100 COMPRIMIDOS REC PEL"|"J01CR02"|1500|33.33|0|0|"Access"
"637579"|"SEPTOCIPRO 100MG 50 AMPOLLAS 10ML INYECTABLE"|"J01MA02"|800|6.25|427.17|427.17|"Watch"
"637538"|"RIGORAN 100MG 50 AMPOLLAS 10ML INYECTABLE"|"J01MA02"|800|6.25|427.17|427.17|"Watch"
"631713"|"FURANTOINA 10MG/ML 80ML 10 FRASCOS SUSPENSION ORAL"|"J01XE01"|200|40|26.42|26.42|"Access"
"605352"|"FOSFOCINA 250MG/5ML 500ML 1 FRASCO SUSPENSION EXTEMPORANEA"|"J01XX01"|3000|8.33|91.22|91.22|"Reserve"
"644583"|"VELMONIT 200MG 50 FRASCOS INYECTABLE IV 100ML"|"J01MA02"|800|12.5|836.14|836.14|"Watch"
"644591"|"VELMONIT 400MG 20 FRASCOS INYECTABLE IV 200ML"|"J01MA02"|800|10|591.49|591.49|"Watch"
"608885"|"DAMOXICIL 250MG/5ML 60ML 10 FRASCOS SUSPENSION ORAL"|"J01CA04"|1500|20|20.81|20.81|"Access"
"987271"|"BUSETAL 200MG/40MG/5ML 150ML SUSPENSION ORAL"|"J01EE01"|1600|3.75|1.86|1.86|"Access"
"654236"|"COMBITORA 500MG 12 CAPSULAS"|"J01CA04"|1500|4|2.4|2.4|"Access"
"676809"|"TOBRAMICINA PREDISUELTA BRAUN 1MG/ML 100ML 1 FRASCO SOLUCION INYECTABL"|"J01GB01"|240|0.42|3.12|3.12|"Watch"
"609123"|"GEVRAMYCIN 40MG 50 VIALES 2ML SOLUCION INYECTABLE"|"J01GB03"|240|8.33|57.61|57.61|"Access"
"664169"|"CUNESIN 750MG 10 COMPRIMIDOS RECUBIERTOS PELICULA"|"J01MA02"|1000|7.5|0|0|"Watch"
"994889"|"BACIMEX 250MG IM 1 INYECTABLE 0,8ML"|"J01CR01"|6000|0.04|0|0|"Access"
"699025"|"VELMONIT 100MG 1 FRASCO INYECTABLE IV 200ML"|"J01MA02"|800|0.12|45.72|45.72|"Watch"
"739821"|"VELMONIT 200MG 100ML 1 FRASCO SOLUCION PERFUSION"|"J01MA02"|800|0.25|21.98|21.98|"Watch"
"997619"|"VELMONIT 200MG 100ML 1 FRASCO SOLUCION PERFUSION"|"J01MA02"|800|0.25|25.85|25.85|"Watch"
"641886"|"CATEX 250MG 500 COMPRIMIDOS RECUBIERTOS PELICULA"|"J01MA02"|1000|125|348.49|348.49|"Watch"
"664888"|"RIGORAN 10% 100ML 1 FRASCO SUSPENSION ORAL"|"J01MA02"|1000|10|48.22|48.22|"Watch"
"714055"|"RIGORAN 100MG 10 AMPOLLAS 10ML INYECTABLE"|"J01MA02"|800|1.25|132.1|132.1|"Watch"
"791079"|"SEPTOCIPRO 2MG 200ML INFUSION IV 1 BOLSA"|"J01MA02"|800|0.5|38.87|38.87|"Watch"
"605618"|"CIPROFLOXACINO SAT 2MG/ML 100ML 50 B0LSAS PERFUSION IV EFG"|"J01MA02"|800|12.5|0|0|"Watch"
"713800"|"SEPTOCIPRO 100MG 10 AMPOLLAS 10ML INYECTABLE"|"J01MA02"|800|1.25|132.1|132.1|"Watch"
"739813"|"VELMONIT 400MG 1 FRASCO INYECTABLE IV 200ML"|"J01MA02"|800|0.5|38.87|38.87|"Watch"
"713750"|"SEPTOCIPRO 2MG/ML 100ML 1 BOLSA INFUSION IV"|"J01MA02"|800|0.25|25.85|25.85|"Watch"
"713768"|"SEPTOCIPRO 2MG/ML 200ML INFUSION IV 1 BOLSA"|"J01MA02"|800|0.5|45.72|45.72|"Watch"
"605634"|"CIPROFLOXACINO SAT 2MG/ML 200ML 20 BOLSAS PERFUSION IV EFG"|"J01MA02"|800|10|0|0|"Watch"
"793158"|"SEPTOCIPRO 2MG 100ML 1 BOLSA SOLUCION PERFUSION"|"J01MA02"|800|0.25|21.98|21.98|"Watch"
"721001"|"CIPROFLOXACINO SAT 2MG/ML 100ML 1 BOLSA SOLUCION PERFUSION EFG"|"J01MA02"|800|0.25|0|0|"Watch"
"721035"|"CIPROFLOXACINO SAT 2MG/ML 200ML 1 BOLSA SOLUCION PERFUSION EFG"|"J01MA02"|800|0.5|0|0|"Watch"
"943183"|"AMOXIMEDICAL 125MG/5ML 60ML SUSPENSION EXTEMPORANEA POLVO"|"J01CA04"|1500|1|1.7|1.7|"Access"
"601575"|"AMOXICILINA/CLAVULANICO MIZAR 875MG/125MG 500 COMPRIMIDOS RECUB PELIC"|"J01CR02"|1500|291.67|0|0|"Access"
"727750"|"CEFRAL 125MG/5ML 60ML SUSPENSION EXTEMPORANEA"|"J01DB09"|2000|0.75|3|3|"Access"
"550315"|"PANCEF 100MG/5ML 60ML SUSPENSION ORAL"|"J01DD08"|400|3|2.63|2.63|"Watch"
