año_cd,ccaa_cd,zbs_residencia_cd,grupo_edad_cd,sexo_cd,tsi_cd,n_poblacion
2024,ES61,5409,12,0,3,2069
2018,ES43,1205,13,0,6,8508
2017,ES23,287,13,2,0,2941
2018,ES24,4804,13,1,0,3642
2017,ES51,734000931,8,9,1,967
2018,ES51,50403,7,2,8,6443
2018,ES42,32,12,0,6,9254
2022,ES22,43016,9,1,2,7294
2020,ES23,122,6,9,0,7724
2017,ES24,749001180,5,9,5,9364
2017,ES63,47017,5,9,3,9158
2017,ES24,50416,14,9,6,7350
2022,ES13,035,9,0,5,253
2024,ES12,50108,18,9,4,1745
2024,ES70,737002021,15,0,0,758
2019,ES23,705001001,9,9,2,2466
2018,ES51,747001947,14,9,7,5850
2019,ES41,2107,8,9,0,2962
2018,ES51,120209,13,1,6,9108
2017,ES43,2504,13,2,3,2439
2024,ES70,12,3,1,6,1047
2020,ES30,120139,3,0,7,8101
2018,ES13,5018,11,2,0,5981
2024,ES61,47047,10,9,1,7041
2018,ES64,3617,2,0,2,2753
2018,ES51,1207,2,1,2,1788
2017,ES64,060215,4,9,4,6916
2021,ES30,22021,1,0,4,9470
2018,ES53,5402,3,0,6,3546
2021,ES21,44005,16,1,0,1677
2024,ES12,50418,9,9,5,3523
2022,ES30,120143,8,1,8,552
2021,ES12,50418,9,1,5,5092
2020,ES23,120117,6,9,6,6876
2020,ES61,27015,4,9,1,2867
2024,ES42,16063410,3,1,5,5114
2017,ES21,4803,4,9,2,5882
2018,ES23,22019,11,2,7,2914
2017,ES11,705000998,1,9,4,760
2022,ES23,43014,12,0,3,6298
2019,ES41,1203,10,2,6,4199
2024,ES30,709001794,5,0,2,3469
2023,ES43,709003511,15,1,8,3131
2019,ES53,44008,15,9,8,5950
2017,ES11,060205,4,2,2,9431
2018,ES23,24,14,0,4,6268
2024,ES53,2505,15,2,7,6125
2019,ES62,252,4,0,5,2092
2018,ES70,734000937,16,1,0,4312
2020,ES30,747001972,6,1,7,8943
2019,ES22,071,15,2,0,9108
2017,ES62,91,17,0,3,1037
2022,ES61,22004,5,9,4,2733
2018,ES12,50800,12,1,4,3727
2019,ES21,42006,17,2,2,9628
2021,ES12,120226,18,9,7,5337
2024,ES43,1107,1,1,7,7482
2017,ES12,50412,7,9,5,9846
2023,ES30,120121,17,0,1,448
2021,ES51,1009,8,2,0,9208
2017,ES24,709001796,1,9,7,9536
2019,ES41,5017,5,0,1,5848
2021,ES12,705000995,12,2,6,3893
2019,ES43,120140,12,1,6,9651
2021,ES63,724002227,6,1,7,8347
2019,ES43,740000971,1,9,1,7286
2024,ES64,2505,8,1,5,5684
2017,ES43,16115510,2,2,4,9866
2023,ES62,3711,5,9,0,3153
2022,ES41,47001,7,1,4,9740
2024,ES61,50600,3,1,2,9603
