codigo_nacional_farmaco_cd,codigo_descripcion,atc_farmaco_dispensado_cd,ddd_nomenclator_nm,ddd_por_envase,pvp_nomenclator_nm,precio_por_envase_nm
688360,ESCITALOPRAM ACCORD 10MG 28 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,28,8.74,8.74
688369,ESCITALOPRAM ACCORD 20MG 56 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,112,34.97,34.97
688361,ESCITALOPRAM ACCORD 10MG 56 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,56,17.48,17.48
688370,ESCITALOPRAM ACCORD 20MG 28 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,56,17.48,17.48
701229,ESCITALOPRAM AUROBINDO 20MG 56 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,112,34.97,34.97
673224,VENLAFAXINA RETARD ACTAVIS 150MG 30 CAPSULAS DURAS LIBERAC PROLONG EFG,N06AX16,100,45,19.15,19.15
662091,CITALOPRAM ALMUS 10MG 28 COMPRIMIDOS RECUBIERTOS PELICULA,N06AB04,20,14,3.82,3.82
654438,CITALOPRAM BIOTISANE 10MG 14 COMPRIMIDOS RECUBIERTOS PELICUL,N06AB04,20,7,3.12,3.12
654166,ESTABEL 30MG 28 COMPRIMIDOS RECUBIERTOS PELICULA,N06AB04,20,42,7.71,7.71
658099,CITALOPRAM MUNDOGEN 10MG 14 COMPRIMIDOS RECUBIERTOS PELICULA,N06AB04,20,7,3.12,3.12
656300,ESTABEL 20MG 28 COMPRIMIDOS RECUBIERTOS PELICULA,N06AB04,20,28,5.14,5.14
655922,PAROXETINA ARAFARMA GROUP 20MG 14 COMPRIMID RECUB PELIC EFG,N06AB05,20,14,3.04,3.04
655923,PAROXETINA ARAFARMA GROUP 20MG 28 COMPRIMID RECUB PELIC EFG,N06AB05,20,28,6.09,6.09
838532,DEPRAX 100MG 30 COMPRIMIDOS,N06AX05,300,10,4.34,4.34
