año_cd,ccaa_cd,zbs_residencia_cd,grupo_edad_cd,sexo_cd,tsi_cd,n_poblacion
2024,ES61,93,12,0,6,2069
2018,ES11,749001165,13,9,3,8508
2017,ES42,120249,13,9,8,2941
2018,ES21,42021,13,1,0,3642
2017,ES43,50408,8,1,1,967
2018,ES11,47004,7,9,3,6443
2018,ES63,734000942,12,0,6,9254
2022,ES11,22009,9,2,4,7294
2020,ES23,742000762,6,1,5,7724
2017,ES41,3615,5,1,4,9364
2017,ES62,1103,5,0,6,9158
2017,ES62,120133,14,9,2,7350
2022,ES61,737002019,9,0,5,253
2024,ES12,120236,18,1,0,1745
2024,ES23,50510,15,1,1,758
2019,ES41,47001,9,0,7,2466
2018,ES61,16101510,14,2,0,5850
2019,ES23,120143,8,9,0,2962
2018,ES42,724002212,13,0,6,9108
2017,ES64,5401,13,0,2,2439
2024,ES63,5005,3,2,3,1047
2020,ES30,43002,3,1,0,8101
2018,ES11,50307,11,1,2,5981
2024,ES23,120229,10,9,5,7041
2018,ES30,120232,2,0,8,2753
2018,ES53,2520,2,0,2,1788
2017,ES11,42011,4,0,1,6916
2021,ES52,120155,1,0,6,9470
2018,ES63,50806,3,0,6,3546
2021,ES30,4912,16,0,8,1677
2024,ES41,0602,9,2,8,3523
2022,ES62,3602,8,9,6,552
2021,ES70,5008,9,2,7,5092
2020,ES42,34,6,9,8,6876
2020,ES13,120216,4,1,8,2867
2024,ES22,50603,3,2,7,5114
2017,ES30,1202,4,9,5,5882
2018,ES42,24,11,1,2,2914
2017,ES64,120144,1,2,5,760
2022,ES42,50105,12,1,2,6298
2019,ES21,120243,10,2,6,4199
2024,ES11,47,5,0,1,3469
2023,ES43,50609,15,0,1,3131
2019,ES13,087,15,2,4,5950
2017,ES42,120234,4,1,4,9431
2018,ES52,50806,14,2,2,6268
2024,ES63,2008,15,2,3,6125
2019,ES23,4901,4,0,5,2092
2018,ES23,069,16,0,5,4312
2020,ES24,42009,6,2,3,8943
2019,ES63,167,15,9,4,9108
2017,ES63,737002024,17,2,6,1037
2022,ES52,4817,5,0,3,2733
2018,ES41,50508,12,0,5,3727
2019,ES41,747001962,17,9,6,9628
2021,ES11,7011910,18,1,5,5337
2024,ES62,060108,1,1,7,7482
2017,ES61,47020,7,1,1,9846
2023,ES21,747001955,17,1,6,448
2021,ES70,56,8,9,6,9208
2017,ES24,120128,1,1,1,9536
2019,ES61,4908,5,2,2,5848
2021,ES64,120245,12,1,0,3893
2019,ES23,22002,12,1,5,9651
2021,ES61,27018,6,1,0,8347
2019,ES24,50309,1,1,8,7286
2024,ES22,50306,8,9,3,5684
2017,ES22,22021,2,0,5,9866
2023,ES53,2508,5,9,1,3153
2022,ES52,737002036,7,9,8,9740
2024,ES41,120124,3,9,3,9603
2022,ES64,709001781,10,9,3,4259
2024,ES23,120232,11,9,2,7787
2024,ES43,1114,13,0,6,2910
2017,ES41,14,12,1,3,6775
2024,ES63,120205,3,2,0,3082
2019,ES30,50111,9,0,4,2185
2024,ES11,709001811,9,0,2,7550
2024,ES43,734000940,12,0,4,2008
2021,ES43,16070610,13,2,2,9941
2021,ES53,44012,5,0,0,5182
2018,ES64,724002245,3,2,8,2959
2019,ES23,22008,2,2,5,5887
2023,ES62,1,8,9,0,1273
2023,ES51,120105,8,2,6,9193
2018,ES63,749002308,18,9,4,6721
2018,ES41,16030210,2,0,7,308
2024,ES64,22002,5,1,3,3012
2023,ES63,293,4,1,2,5016
2021,ES42,120208,14,2,5,812
2020,ES64,104,15,2,6,8820
2022,ES13,120247,17,9,8,7434
2018,ES64,9,12,1,6,6792
2019,ES53,740000965,11,2,1,3370
2021,ES51,742000765,13,0,0,1114
2019,ES12,060113,2,0,0,3275
2022,ES62,50104,14,0,2,680
2024,ES11,709001776,10,1,5,8760
2018,ES13,120138,11,1,7,6951
2018,ES24,749001179,6,1,2,9149
2023,ES11,120108,3,2,1,2484
2020,ES52,50513,18,2,3,177
2017,ES64,3711,12,2,0,7241
2021,ES52,50608,15,2,8,8154
