"codigo_nacional_farmaco_cd"|"codigo_descripcion"|"atc_farmaco_dispensado_cd"|"ddd_nomenclator_nm"|"ddd_por_envase"|"pvp_nomenclator_nm"|"precio_por_envase_nm"|"depot_bl"
"712880"|"OLAZAX DISPERZI 20MG 28 COMPRIMIDOS BUCODISPERSABLES EFG"|"N05AH03"|10|56|105.78|105.78|FALSE
"652298"|"RISPERIDONA SANDOZ 3MG 20 COMPRIMIDOS RECUBIERTOS PELICULA EFG"|"N05AX08"|5|12|8.2|8.2|FALSE
"723383"|"ROCOZ PROLONG 50MG 10 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N05AH04"|400|1.25|2.7|2.7|FALSE
"687779"|"QUETIAPINA JUSTE 100MG 60 COMPRIMIDOS RECUBIERTOS PELICULA EFG"|"N05AH04"|400|15|32.41|32.41|FALSE
"687792"|"QUETIAPINA JUSTE 200MG 60 COMPRIMIDOS RECUBIERTOS PELICULA EFG"|"N05AH04"|400|30|64.82|64.82|FALSE
"687769"|"QUETIAPINA JUSTE 25MG 60 COMPRIMIDOS RECUBIERTOS PELICULA EFG"|"N05AH04"|400|3.75|8.1|8.1|FALSE
"687799"|"QUETIAPINA JUSTE 300MG 60 COMPRIMIDOS RECUBIERTOS PELICULA EFG"|"N05AH04"|400|45|97.22|97.22|FALSE
"652322"|"RISPERIDONA SANDOZ 1MG 20 COMPRIMIDOS RECUBIERTOS PELICULA EFG"|"N05AX08"|5|4|2.73|2.73|FALSE
"658999"|"RISPERIDONA FLAS RATIOPHARM 1MG 28 COMPRIMIDOS BUCODISPERSABLES EFG"|"N05AX08"|5|5.6|3.82|3.82|FALSE
"660323"|"RISPERIDONA TEVA 1MG 20 COMPRIMIDOS RECUBIERTOS PELICULA EFG"|"N05AX08"|5|4|2.73|2.73|FALSE
"656699"|"AMISULPRIDA ARAFARMA GROUP 100MG 60 COMPRIMIDOS EFG"|"N05AL05"|400|15|19.94|19.94|FALSE
"656700"|"AMISULPRIDA ARAFARMA GROUP 200MG 60 COMPRIMIDOS EFG"|"N05AL05"|400|30|39.87|39.87|FALSE
"656701"|"AMISULPRIDA ARAFARMA GROUP 400MG 30 COMPRIMIDOS RECUBIERT PELICULA EFG"|"N05AL05"|400|30|39.87|39.87|FALSE
"652148"|"RISPERDAL FLAS 4MG 56 COMPRIMIDOS BUCODISPERSABLES"|"N05AX08"|5|44.8|30.89|30.89|FALSE
"652152"|"RISPERDAL FLAS 3MG 56 COMPRIMIDOS BUCODISPERSABLES"|"N05AX08"|5|33.6|23.17|23.17|FALSE
"652147"|"RISPERDAL FLAS 4MG 28 COMPRIMIDOS BUCODISPERSABLES"|"N05AX08"|5|22.4|15.44|15.44|FALSE
"749580"|"RISPERDAL FLAS 0,5MG 28 COMPRIMIDOS BUCODISPERSABLES"|"N05AX08"|5|2.8|2.5|2.5|FALSE
"749606"|"RISPERDAL FLAS 1MG 28 COMPRIMIDOS BUCODISPERSABLES"|"N05AX08"|5|5.6|3.86|3.86|FALSE
"749614"|"RISPERDAL FLAS 1MG 56 COMPRIMIDOS BUCODISPERSABLES"|"N05AX08"|5|11.2|7.73|7.73|FALSE
