"grupo_edad_cd"|"sexo_cd"|"año_cd"|"n_poblacion"
1|1|2017|1087202
1|1|2018|1062497
1|1|2019|1041974
1|1|2020|1012267
1|1|2021|964134
1|1|2022|924749
1|2|2017|1027029
1|2|2018|1004298
1|2|2019|984751
1|2|2020|958201
1|2|2021|913311
1|2|2022|875348
2|1|2017|1255729
2|1|2018|1239737
2|1|2019|1205281
2|1|2020|1189732
2|1|2021|1164114
2|1|2022|1144155
2|2|2017|1183473
2|2|2018|1168510
2|2|2019|1137276
2|2|2020|1122785
2|2|2021|1099107
2|2|2022|1080666
3|1|2017|1216685
3|1|2018|1242778
3|1|2019|1273852
3|1|2020|1291309
3|1|2021|1293464
3|1|2022|1289661
3|2|2017|1155602
3|2|2018|1179289
3|2|2019|1205272
3|2|2020|1219701
3|2|2021|1220100
3|2|2022|1215260
4|1|2017|1134232
4|1|2018|1154290
4|1|2019|1189621
4|1|2020|1226755
4|1|2021|1239643
4|1|2022|1268060
4|2|2017|1070586
4|2|2018|1087917
4|2|2019|1121518
4|2|2020|1150818
4|2|2021|1166732
4|2|2022|1191898
5|1|2017|1163414
5|1|2018|1161152
5|1|2019|1172014
5|1|2020|1202127
5|1|2021|1216435
5|1|2022|1236907
5|2|2017|1118341
5|2|2018|1115475
5|2|2019|1121818
5|2|2020|1147068
5|2|2021|1154549
5|2|2022|1167357
6|1|2017|1283969
6|1|2018|1281721
6|1|2019|1289823
6|1|2020|1302306
6|1|2021|1287019
6|1|2022|1277314
6|2|2017|1271763
6|2|2018|1263907
6|2|2019|1264966
6|2|2020|1270177
6|2|2021|1250316
6|2|2022|1237091
7|1|2017|1501788
7|1|2018|1447371
7|1|2019|1423831
7|1|2020|1415753
7|1|2021|1391684
7|1|2022|1378453
7|2|2017|1498627
7|2|2018|1449530
7|2|2019|1424765
7|2|2020|1412116
7|2|2021|1383410
7|2|2022|1362422
8|1|2017|1898037
8|1|2018|1823681
8|1|2019|1750832
8|1|2020|1695772
8|1|2021|1621272
8|1|2022|1557986
8|2|2017|1843555
8|2|2018|1787891
8|2|2019|1728908
8|2|2020|1682735
8|2|2021|1617218
8|2|2022|1562690
9|1|2017|2016075
9|1|2018|2023516
9|1|2019|2030275
9|1|2020|2017675
9|1|2021|1976535
9|1|2022|1917488
9|2|2017|1944901
9|2|2018|1956437
9|2|2019|1970507
9|2|2020|1965767
9|2|2021|1934504
9|2|2022|1886481
10|1|2017|1880160
10|1|2018|1895881
10|1|2019|1922727
10|1|2020|1962448
10|1|2021|1988860
10|1|2022|2013435
10|2|2017|1848432
10|2|2018|1860455
10|2|2019|1884264
10|2|2020|1921203
10|2|2021|1945050
10|2|2022|1971916
11|1|2017|1744033
11|1|2018|1778341
11|1|2019|1804417
11|1|2020|1821948
11|1|2021|1841066
11|1|2022|1863761
11|2|2017|1761810
11|2|2018|1795884
11|2|2019|1821626
11|2|2020|1834876
