"año_cd","ccaa_cd","zbs_residencia_cd","grupo_edad_cd","sexo_cd","tsi_cd","n_poblacion"
2020,"ES24",3611,14,1,8,2530
2014,"ES24",2509,17,2,8,5758
2013,"ES24",2518,4,1,2,7623
2014,"ES24",5405,11,1,6,1289
2022,"ES24",1208,5,2,0,6762
2013,"ES24",4803,13,1,8,8902
2014,"ES24",1201,9,2,5,2231
2014,"ES24",3613,16,2,1,6304
2018,"ES24",1113,2,2,7,8701
2016,"ES24",3601,13,2,6,1449
2013,"ES24",4909,1,1,6,2718
2013,"ES24",2520,14,1,7,3201
2013,"ES24",3605,1,1,4,6899
2018,"ES24",5409,8,1,4,2978
2022,"ES24",4809,17,2,3,823
2020,"ES24",4807,18,1,4,5246
2022,"ES24",4805,3,2,6,753
2020,"ES24",5412,3,1,3,7247
2015,"ES24",3705,17,1,3,7156
2014,"ES24",3616,12,2,2,5045
2015,"ES24",4804,12,1,0,2721
2014,"ES24",3617,16,1,5,7919
2013,"ES24",3609,2,2,6,4020
2021,"ES24",3710,2,1,2,1498
2020,"ES24",2520,1,2,1,2340
2016,"ES24",2520,1,1,8,8630
2014,"ES24",3612,18,1,2,6121
2021,"ES24",5411,8,2,6,3718
2020,"ES24",3701,4,1,2,8706
2014,"ES24",3609,13,1,6,9622
2022,"ES24",1213,9,2,7,6180
2014,"ES24",1209,17,1,6,2135
2021,"ES24",4808,18,2,8,5137
2022,"ES24",5410,8,1,1,1683
2013,"ES24",2518,9,2,5,7962
2017,"ES24",1113,10,2,7,3398
2021,"ES24",4907,3,2,6,5062
2014,"ES24",3617,3,1,8,8904
2017,"ES24",3615,10,1,8,5698
2020,"ES24",5411,11,2,4,2848
2018,"ES24",4813,11,1,8,9683
2017,"ES24",3701,14,1,6,719
2016,"ES24",2508,16,2,6,9947
2016,"ES24",4803,2,2,0,743
2020,"ES24",1215,15,1,2,1779
2021,"ES24",1106,14,2,4,2018
2013,"ES24",1210,18,1,5,2920
2021,"ES24",4902,11,2,2,6023
2014,"ES24",3604,7,2,0,3604
2013,"ES24",1209,7,1,6,5928
2018,"ES24",1203,7,1,6,2867
2015,"ES24",2510,9,1,7,9103
2020,"ES24",1207,1,2,6,5585
2019,"ES24",1103,14,2,5,1245
2015,"ES24",5407,17,1,5,8686
2013,"ES24",3706,1,1,3,8983
2014,"ES24",5412,15,1,0,2251
2022,"ES24",3711,1,1,2,5474
2020,"ES24",4901,9,2,0,8221
2015,"ES24",1104,14,1,5,2059
2014,"ES24",3609,1,2,5,9131
2021,"ES24",2515,2,1,6,5043
2016,"ES24",1205,14,1,6,788
2015,"ES24",4901,14,1,8,7593
2013,"ES24",5410,6,2,1,8692
2018,"ES24",1107,3,2,3,9803
2014,"ES24",4901,15,2,2,9613
2021,"ES24",2504,8,1,2,5272
2015,"ES24",1108,2,1,8,6009
2017,"ES24",2519,8,1,2,380
2020,"ES24",2513,4,1,0,4286
2013,"ES24",5414,9,2,1,6670
2019,"ES24",4813,1,2,6,741
2017,"ES24",1108,7,2,5,4476
2013,"ES24",3608,13,1,7,9483
2015,"ES24",1107,13,1,4,4953
2017,"ES24",1201,18,2,4,9039
2015,"ES24",5405,1,2,5,2087
2017,"ES24",1206,7,1,2,9653
2015,"ES24",1210,5,1,3,7727
2020,"ES24",2509,4,1,4,2223
2013,"ES24",1215,11,2,1,259
2022,"ES24",4809,4,1,5,1600
2019,"ES24",2504,18,2,4,9719
2018,"ES24",2511,3,2,7,1859
