"codigo_nacional_farmaco_cd"|"codigo_descripcion"|"atc_farmaco_dispensado_cd"|"ddd_nomenclator_nm"|"ddd_por_envase"|"pvp_nomenclator_nm"|"precio_por_envase_nm"|"mme_total"
"571259"|"MORFINA 1MG/ML 20ML 1 ENVASES SOLUCION ORAL (FM)"|"N02AA01"|100|0.2|0|0|20
"656001"|"JURNISTA 64MG 30 COMPRIMIDOS LIBERACION PROLONGADA"|"N02AA03"|20|96|0|0|7680
"017876"|"HYDROMORPHON 4MG 50 COMPRIMIDOS LIBERACION PROLONGADA"|"N02AA03"|20|10|47.49|47.49|800
"763933"|"TAIOMA 20MG 56 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AA05"|75|14.93|27.37|27.37|1680
"763934"|"TAIOMA 40MG 56 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AA05"|75|29.86|54.73|54.73|3360
"763935"|"TAIOMA 5MG 56 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AA05"|75|3.73|6.82|6.82|420
"763936"|"TAIOMA 80MG 56 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AA05"|75|59.73|109.48|109.48|6720
"763932"|"TAIOMA 10MG 56 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AA05"|75|7.46|13.69|13.69|840
"731272"|"TANONALLA 30MG/15MG 56 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AA55"|75|22.4|76.15|76.15|2520
"763202"|"FENTANILO MATRIX KERN PHARMA 100MCG/H 5 PARCHES TRANSDERMICOS (PAPEL/P"|"N02AB03"|1.2|30|58.51|58.51|3600
"763197"|"FENTANILO MATRIX KERN PHARMA 25MCG/H 5 PARCHES TRANSDERMICOS (PAPEL/PE"|"N02AB03"|1.2|7.5|14.63|14.63|900
"763204"|"FENTANILO MATRIX KERN PHARMA 75MCG/H 5 PARCHES TRANSDERMICOS (PAPEL/PE"|"N02AB03"|1.2|22.5|43.88|43.88|2700
"763200"|"FENTANILO MATRIX KERN PHARMA 50MCG/H 5 PARCHES TRANSDERMICOS EFG"|"N02AB03"|1.2|15|29.25|29.25|1800
"763627"|"FENTANILO MATRIX NORMON 100MCG/HORA 5 PARCHES TRANSDERMICOS EFG"|"N02AB03"|1.2|30|58.51|58.51|3600
"763628"|"FENTANILO MATRIX NORMON 25MCG/HORA 5 PARCHES TRANSDERMICOS EFG"|"N02AB03"|1.2|7.5|14.63|14.63|900
"763629"|"FENTANILO MATRIX NORMON 50MCG/HORA 5 PARCHES TRANSDERMICOS EFG"|"N02AB03"|1.2|15|29.25|29.25|1800
"763630"|"FENTANILO MATRIX NORMON 75MCG/HORA 5 PARCHES TRANSDERMICOS EFG"|"N02AB03"|1.2|22.5|43.88|43.88|2700
"764659"|"PAZITAL 37,5MG/325MG 60 COMPRIMIDOS RECUBIERTOS PELICULA"|"N02AJ13"|300|0.2|8.88|8.88|225
"763858"|"ZALDIAR 37,5MG/325MG 60 COMPRIMIDOS RECUBIERTOS PELICULA"|"N02AJ13"|300|0.2|8.88|8.88|225
"764709"|"TRAMADOL/PARACETAMOL ALTER 75MG/650MG 20 COMPRIMIDOS RECUBIER PELICULA"|"N02AJ13"|300|0.07|5.92|5.92|150
"764710"|"TRAMADOL/PARACETAMOL ALTER 75MG/650MG 60 COMPRIMIDOS RECUBIERT PELICUL"|"N02AJ13"|300|0.2|17.75|17.75|450
"758106"|"TRAMADOL/PARACETAMOL KERN PHARMA 75MG/650MG 20 COMPRIMIDOS"|"N02AJ13"|300|0.07|5.92|5.92|150
"758107"|"TRAMADOL/PARACETAMOL KERN PHARMA 75MG/650MG 60 COMPRIMIDOS"|"N02AJ13"|300|0.2|17.75|17.75|450
"723582"|"TRAMADOL/PARACETAMOL ANDROMACO 37,5MG/325MG 20 COMPRIMIDOS REC PEL EFG"|"N02AJ13"|300|0.07|2.97|2.97|75
"724424"|"TRAMADOL/PARACETAMOL ANDROMACO 37,5MG/325MG 20 COMPRIMIDOS EFERVES EFG"|"N02AJ13"|300|0.07|2.97|2.97|75
"607646"|"MABRON 100MG 100 AMPOLLAS 2ML SOLUCION INYECTABLE Y PERFUSION EFG"|"N02AX02"|300|33.33|42.39|42.39|1000
"725083"|"TRAMADOL ALMUS 50MG 20 CAPSULAS DURAS EFG"|"N02AX02"|300|3.33|2.5|2.5|100
"724539"|"TRAMADOL ANDROMACO 50MG 20 CAPSULAS DURAS EFG"|"N02AX02"|300|3.33|2.5|2.5|100
"724486"|"TRAMADOL RETARD ANDROMACO 100MG 20 COMPRIMIDOS LIBERAC PROLONGADA EFG"|"N02AX02"|300|6.66|4.14|4.14|200
"724488"|"TRAMADOL RETARD ANDROMACO 150MG 20 COMPRIMIDOS LIBERAC PROLONGADA EFG"|"N02AX02"|300|10|6.21|6.21|300
"724490"|"TRAMADOL RETARD ANDROMACO 200MG 20 COMPRIMIDOS LIBERAC PROLONGADA EFG"|"N02AX02"|300|13.33|8.27|8.27|400
"724483"|"TRAMADOL RETARD ANDROMACO 50MG 20 COMPRIMIDOS LIBERAC PROLONGADA EFG"|"N02AX02"|300|3.33|2.5|2.5|100
"724541"|"TRAMADOL ANDROMACO 100MG/ML 30ML 1 FRASCO SOLUCION ORAL EFG"|"N02AX02"|300|10|9.54|9.54|300
"721801"|"TRAMADOL KRKA 100MG 5 AMPOLLAS 2ML SOLUCION INYECTABLE Y PERFUSION EFG"|"N02AX02"|300|1.66|3.26|3.26|50
"724092"|"TRAMADOL MABO 50MG 20 CAPSULAS DURAS (AL/PVC/PVDC) EFG"|"N02AX02"|300|3.33|2.5|2.5|100
"724093"|"TRAMADOL MABO 50MG 60 CAPSULAS DURAS (AL/PVC/PVDC) EFG"|"N02AX02"|300|10|6.21|6.21|300
"607755"|"TRAMADOL BASI 50MG/ML 2ML 50 AMPOLLAS SOLUCION INYECTABLE EFG"|"N02AX02"|300|16.6666666666667|0|0|500
"759844"|"TAPENTADOL TEVA 50MG 60 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AX06"|400|7.5|22.01|22.01|1200
"759846"|"TAPENTADOL TEVA 100MG 60 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AX06"|400|15|44.02|44.02|2400
"677282"|"PALEXIA 50MG 30 COMPRIMIDOS RECUBIERTOS PELICULA"|"N02AX06"|400|3.75|11.01|11.01|600
"759318"|"PALGESIC RETARD 100MG 60 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AX06"|400|15|44.02|44.02|2400
"759319"|"PALGESIC RETARD 150MG 60 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AX06"|400|22.5|66.03|66.03|3600
"759320"|"PALGESIC RETARD 200MG 60 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AX06"|400|30|88.05|88.05|4800
"759322"|"PALGESIC RETARD 25MG 60 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AX06"|400|3.75|11.01|11.01|600
"759847"|"TAPENTADOL TEVA 150MG 60 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AX06"|400|22.5|66.03|66.03|3600
"759849"|"TAPENTADOL TEVA 250MG 60 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AX06"|400|37.5|110.06|110.06|6000
"758790"|"TAPIMIO 100MG 60 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AX06"|400|15|44.02|44.02|2400
"758798"|"TAPIMIO 150MG 60 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AX06"|400|22.5|66.03|66.03|3600
"758806"|"TAPIMIO 200MG 60 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AX06"|400|30|88.05|88.05|4800
"758814"|"TAPIMIO 250MG 60 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AX06"|400|37.5|110.06|110.06|6000
"758776"|"TAPIMIO 25MG 60 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AX06"|400|3.75|11.01|11.01|600
"758783"|"TAPIMIO 50MG 60 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AX06"|400|7.5|22.01|22.01|1200
"731864"|"TAPENTADOL KRKA 150MG 60 (2X30) COMPRIMIDOS LIBERACION PROLONGADA"|"N02AX06"|400|22.5|66.03|66.03|3600
"731865"|"TAPENTADOL KRKA 50MG 60 (2X30) COMPRIMIDOS LIBERACION PROLONGADA"|"N02AX06"|400|7.5|22.01|22.01|1200
"759323"|"PALGESIC RETARD 50MG 60 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AX06"|400|7.5|22.01|22.01|1200
"759240"|"TAPENTADOL RETARD STADA 100MG 60 COMPRIMIDOS LIBERACION PROLONGADA"|"N02AX06"|400|15|44.02|44.02|2400
"759241"|"TAPENTADOL RETARD STADA 150MG 60 COMPRIMIDOS LIBERACION PROLONGADA"|"N02AX06"|400|22.5|66.03|66.03|3600
"759242"|"TAPENTADOL RETARD STADA 200MG 60 COMPRIMIDOS LIBERACION PROLONGADA"|"N02AX06"|400|30|88.05|88.05|4800
"759243"|"TAPENTADOL RETARD STADA 250MG 60 COMPRIMIDOS LIBERACION PROLONGADA"|"N02AX06"|400|37.5|110.06|110.06|6000
"759244"|"TAPENTADOL RETARD STADA 25MG 60 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AX06"|400|3.75|11.01|11.01|600
"759245"|"TAPENTADOL RETARD STADA 50MG 60 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AX06"|400|7.5|22.01|22.01|1200
"759276"|"PAGRENTIL RETARD 100MG 60 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AX06"|400|15|44.02|44.02|2400
"759277"|"PAGRENTIL RETARD 150MG 60 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AX06"|400|22.5|66.03|66.03|3600
"759278"|"PAGRENTIL RETARD 200MG 60 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AX06"|400|30|88.05|88.05|4800
"759279"|"PAGRENTIL RETARD 250MG 60 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AX06"|400|37.5|110.06|110.06|6000
"759273"|"PAGRENTIL RETARD 25MG 60 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AX06"|400|3.75|11.01|11.01|600
"759843"|"TAPENTADOL TEVA 25MG 60 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AX06"|400|3.75|11.01|11.01|600
"677283"|"PALEXIA 100MG 30 COMPRIMIDOS RECUBIERTOS PELICULA"|"N02AX06"|400|7.5|22.01|22.01|1200
"677284"|"PALEXIA 75MG 30 COMPRIMIDOS RECUBIERTOS PELICULA"|"N02AX06"|400|5.62|16.52|16.52|900
"759321"|"PALGESIC RETARD 250MG 60 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AX06"|400|37.5|110.06|110.06|6000
"731863"|"TAPENTADOL KRKA 100MG 60 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AX06"|400|15|44.02|44.02|2400
"759848"|"TAPENTADOL TEVA 200MG 60 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AX06"|400|30|88.05|88.05|4800
"759275"|"PAGRENTIL RETARD 50MG 60 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AX06"|400|7.5|22.01|22.01|1200
"603633"|"PALEXIA 100MG 100 COMPRIMIDOS RECUBIERTOS PELICULA"|"N02AX06"|400|25|0|0|4000
"603634"|"PALEXIA 75MG 100 COMPRIMIDOS RECUBIERTOS PELICULA"|"N02AX06"|400|18.75|0|0|3000
"603632"|"PALEXIA 50MG 100 COMPRIMIDOS RECUBIERTOS PELICULA"|"N02AX06"|400|12.5|0|0|2000
"604503"|"YANTIL 50MG 100 COMPRIMIDOS RECUBIERTOS PELICULA"|"N02AX06"|400|12.5|0|0|2000
"605110"|"YANTIL 100MG 100 COMPRIMIDOS RECUBIERTOS PELICULA"|"N02AX06"|400|25|0|0|4000
"605111"|"YANTIL 75MG 100 COMPRIMIDOS RECUBIERTOS PELICULA"|"N02AX06"|400|18.75|0|0|3000
"672596"|"YANTIL 50MG 30 COMPRIMIDOS RECUBIERTOS PELICULA"|"N02AX06"|400|3.75|0|0|600
"607559"|"REMUVA 100MG 100 COMPRIMIDOS LIBERACION PROLONGADA EFG"|"N02AX06"|400|25|0|0|4000
"673306"|"YANTIL 75MG 30 COMPRIMIDOS RECUBIERTOS PELICULA"|"N02AX06"|400|5.625|0|0|900
"711032"|"ENANPLUS 75MG/25MG 20 COMPRIMIDOS RECUBIERTOS PELICULA (PVC/PE/PVDC/AL"|"N02AJ14"|300|0.07|7.1|7.1|150
"704216"|"TRAMADOL/PARACETAMOL RATIOPHARM 37,5/325MG 20 COMPR EFERVES 1 TUBO EFG"|"N02AJ13"|300|0.07|2.97|2.97|75
"704252"|"TRAMADOL/PARACETAMOL TEVA 37,5/325MG 20 COMPRIMID EFERVESC 1 TUBO EFG"|"N02AJ13"|300|0.07|2.97|2.97|75
"747295"|"TERMALDINA CODEINA 300MG/15MG 16 CAPSULAS"|"N02AJ06"|90|0.18|0|0|36
"603550"|"PARACETAMOL/CODEINA KERN PHARMA 500MG/30MG 500 COMPRIMIDOS EFG"|"N02AJ06"|90|5.56|37.87|37.87|2250
"603567"|"PARACETAMOL/CODEINA PHARMAKERN 500MG/30MG 500 COMPRIMIDOS EFG"|"N02AJ06"|90|5.56|37.87|37.87|2250
"648196"|"DOLOCATIL CODEINA 500MG/15MG 500 COMPRIMIDOS"|"N02AJ06"|90|5.56|30.7|30.7|1125
"603217"|"ANALGIPLUS 500MG/30MG 500 COMPRIMIDOS RECUBIERTOS PELICULA"|"N02AJ06"|90|5.56|47.94|47.94|2250
"649863"|"COD-EFFERALGAN 500MG/30MG 500 COMPRIMIDOS EFERVESCENTES"|"N02AJ06"|90|5.56|49.51|49.51|2250
"631374"|"DOLOCATIL CODEINA 650MG/30MG 500 COMPRIMIDOS"|"N02AJ06"|90|5.56|55.56|55.56|2250
"649707"|"DOLOCATIL CODEINA 325MG/15MG 500 COMPRIMIDOS"|"N02AJ06"|90|5.56|34.7|34.7|1125
"601161"|"TERMALDINA CODEINA 300MG/15MG 500 CAPSULAS"|"N02AJ06"|90|5.56|40.99|40.99|1125
"604479"|"NEOBRUFEN CON CODEINA 400MG/30MG 500 COMPRIMIDOS RECUBIERTOS PELICULA"|"N02AJ08"|90|5.56|82.11|82.11|2250
"605582"|"ASTEFOR 400MG/30MG 500 COMPRIMIDOS RECUBIERTOS PELICULA"|"N02AJ08"|90|5.56|55.56|55.56|2250
"605772"|"TRAMADOL/PARACETAMOL APOTEX AG 37,5MG/325MG 100 COMPRIMIDOS BLIST EFG"|"N02AJ13"|300|0.33|11.97|11.97|375
"605771"|"TRAMADOL/PARACETAMOL APOTEX AG 37,5MG/325MG 100 COMPRIMIDOS TIRAS EFG"|"N02AJ13"|300|0.33|11.97|11.97|375
"605814"|"TRAMADOL/PARACETAMOL MUNDOGEN 37,5MG/325MG 100 COMPRIMIDOS (AL/PE) EFG"|"N02AJ13"|300|0.33|11.97|11.97|375
"605813"|"TRAMADOL/PARACETAMOL MUNDOGEN 37,5MG/325MG 100 COMPRIM (AL/PVC/PVD EFG"|"N02AJ13"|300|0.33|11.97|11.97|375
"605518"|"TRAMADOL/PARACETAMOL KERN PHARMA 37,5MG/325MG 100 COMPRIM REC PELI EFG"|"N02AJ13"|300|0.33|11.97|11.97|375
"605767"|"CAPTOR 37,5MG/325MG 100 COMPRIMIDOS (TIRAS) EFG"|"N02AJ13"|300|0.33|11.97|11.97|375
"605768"|"CAPTOR 37,5MG/325MG 100 COMPRIMIDOS (BLISTER) EFG"|"N02AJ13"|300|0.33|11.97|11.97|375
"605810"|"TRAMADOL/PARACETAMOL ABAMED 37,5MG/325MG 100 COMPRIMIDOS (AL/PE) EFG"|"N02AJ13"|300|0.33|11.97|11.97|375
"605811"|"TRAMADOL/PARACETAMOL ABAMED 37,5MG/325MG 100 COMPRIMIDOS (AL/PVC) EFG"|"N02AJ13"|300|0.33|11.97|11.97|375
"602885"|"ZALDIAR 37,5MG/325MG 100 COMPRIMIDOS EFERVESCENTES"|"N02AJ13"|300|0.33|11.97|11.97|375
"606058"|"TRAMADOL/PARACETAMOL FARMALIDER 37,5MG/325MG 100 COMP RECUB PELIC EFG"|"N02AJ13"|300|0.33|11.97|11.97|375
