"año_cd"|"grupo_edad_cd"|"sexo_cd"|"n_poblacion"
2013|1|1|1227032
2013|1|2|1155754
2013|2|1|1248339
2013|2|2|1184383
2013|3|1|1142221
2013|3|2|1081832
2013|4|1|1117055
2013|4|2|1053383
2013|5|1|1251773
2013|5|2|1212536
2013|6|1|1477666
2013|6|2|1462645
2013|7|1|1901749
2013|7|2|1830993
2013|8|1|2113348
2013|8|2|1998399
2013|9|1|1980999
2013|9|2|1897860
2013|10|1|1855636
2013|10|2|1828988
2013|11|1|1639952
2013|11|2|1657992
2013|12|1|1378086
2013|12|2|1429222
2013|13|1|1218561
2013|13|2|1296990
2013|14|1|1082908
2013|14|2|1201254
2013|15|1|794818
2013|15|2|932572
2013|16|1|750167
2013|16|2|985992
2013|17|1|546003
2013|17|2|831150
2013|18|1|383996
2013|18|2|809670
2014|1|1|1177965
2014|1|2|1111032
2014|2|1|1265822
2014|2|2|1197685
2014|3|1|1157503
2014|3|2|1099919
2014|4|1|1101906
2014|4|2|1038055
2014|5|1|1219918
2014|5|2|1177821
2014|6|1|1401539
2014|6|2|1394671
2014|7|1|1776407
2014|7|2|1730331
2014|8|1|2082486
2014|8|2|1981689
2014|9|1|1976547
2014|9|2|1896132
2014|10|1|1859738
2014|10|2|1834704
2014|11|1|1656427
2014|11|2|1675322
2014|12|1|1410754
2014|12|2|1464117
2014|13|1|1206256
2014|13|2|1282154
2014|14|1|1101728
2014|14|2|1222405
2014|15|1|832182
2014|15|2|973577
2014|16|1|712489
2014|16|2|936016
2014|17|1|557804
2014|17|2|843576
2014|18|1|401776
2014|18|2|843416
2015|1|1|1141117
2015|1|2|1076630
2015|2|1|1269368
2015|2|2|1199875
2015|3|1|1177700
2015|3|2|1117738
2015|4|1|1103259
2015|4|2|1041008
2015|5|1|1193483
2015|5|2|1149462
2015|6|1|1344119
2015|6|2|1339301
2015|7|1|1671576
2015|7|2|1643414
2015|8|1|2030758
2015|8|2|1945636
2015|9|1|1987418
2015|9|2|1909843
2015|10|1|1856660
2015|10|2|1830975
2015|11|1|1690541
2015|11|2|1710286
2015|12|1|1457879
2015|12|2|1511269
2015|13|1|1211423
2015|13|2|1287392
2015|14|1|1113695
2015|14|2|1236039
2015|15|1|895997
2015|15|2|1044572
2015|16|1|667497
2015|16|2|877057
2015|17|1|568452
2015|17|2|852324
2015|18|1|423091
2015|18|2|877681
2016|1|1|1111874
2016|1|2|1049625
2016|2|1|1268092
2016|2|2|1196173
2016|3|1|1192589
2016|3|2|1134677
2016|4|1|1118260
2016|4|2|1054783
2016|5|1|1175634
2016|5|2|1129764
2016|6|1|1305724
2016|6|2|1299159
2016|7|1|1578496
2016|7|2|1563360
2016|8|1|1972696
2016|8|2|1902098
2016|9|1|2002440
2016|9|2|1926008
2016|10|1|1867407
