"zbs_residencia_cd"|"ccaa_cd"|"codatzbs"|"n_zbs"
"4904"|"ES24"|"20904"|"CALACEITE"
"5407"|"ES24"|"20407"|"ARRABAL"
"1215"|"ES24"|"20215"|"MONZON RURAL"
"2520"|"ES24"|"20520"|"ROMAREDA - SEMINARIO"
"1113"|"ES24"|"20113"|"SARIÑENA"
"1205"|"ES24"|"20205"|"BENABARRE"
"4810"|"ES24"|"20810"|"MOSQUERUELA"
"1108"|"ES24"|"20108"|"HUESCA CAPITAL Nº 2 (SANTO GRIAL)"
"3613"|"ES24"|"20623"|"DELICIAS NORTE"
"2511"|"ES24"|"20511"|"TORRERO LA PAZ"
"3603"|"ES24"|"20613"|"BORJA"
"4903"|"ES24"|"20903"|"ANDORRA"
"5406"|"ES24"|"20406"|"ACTUR SUR"
"4804"|"ES24"|"20804"|"BAGUENA"
"4905"|"ES24"|"20905"|"CALANDA"
"4909"|"ES24"|"20909"|"HIJAR"
"2513"|"ES24"|"20513"|"SAGASTA-RUISEÑORES"
"3602"|"ES24"|"20612"|"LA ALMUNIA DE DOÑA GODINA"
"1111"|"ES24"|"20111"|"BERDUN"
"3703"|"ES24"|"20703"|"ATECA"
"3612"|"ES24"|"20622"|"DELICIAS SUR"
"5405"|"ES24"|"20405"|"ZUERA"
"3707"|"ES24"|"20707"|"MORATA DE JALON"
"2523"|"ES24"|"20523"|"FERNANDO EL CATOLICO"
"2524"|"ES24"|"20524"|"VALDESPARTERA-MONTECANAL"
"2519"|"ES24"|"20519"|"SAN JOSE SUR"
"4812"|"ES24"|"20812"|"SARRION"
"3611"|"ES24"|"20621"|"MARIA DE HUERVA"
"3303"|"ES24"|"20603"|"SOS DEL REY CATOLICO"
"3702"|"ES24"|"20702"|"ARIZA"
"5413"|"ES24"|"20413"|"ACTUR OESTE"
"2510"|"ES24"|"20510"|"SAN PABLO"
"2522"|"ES24"|"20522"|"HERNAN CORTES"
"4815"|"ES24"|"20815"|"VILLEL"
"1206"|"ES24"|"20206"|"BERBEGAL"
"4816"|"ES24"|"20817"|"TERUEL ENSANCHE"
"4911"|"ES24"|"20911"|"MUNIESA"
"3601"|"ES24"|"20611"|"ALAGON"
"1211"|"ES24"|"20211"|"LAFORTUNADA"
"5411"|"ES24"|"20254"|"MEQUINENZA"
"1210"|"ES24"|"20210"|"GRAUS"
"1207"|"ES24"|"20207"|"BINEFAR"
"1103"|"ES24"|"20103"|"BIESCAS-VALLE DE TENA"
"4912"|"ES24"|"20912"|"VALDERROBRES"
"1102"|"ES24"|"20102"|"AYERBE"
"5403"|"ES24"|"20403"|"LUNA"
"3615"|"ES24"|"20625"|"UNIVERSITAS"
"2508"|"ES24"|"20508"|"MADRE VEDRUNA-MIRAFLORES"
"4901"|"ES24"|"20901"|"ALCAÑIZ"
"3302"|"ES24"|"20602"|"SADABA"
"2515"|"ES24"|"20515"|"LAS FUENTES NORTE"
"3704"|"ES24"|"20704"|"CALATAYUD RURAL"
"3606"|"ES24"|"20616"|"GALLUR"
"3711"|"ES24"|"20711"|"SABIÑAN"
"2507"|"ES24"|"20507"|"INDEPENDENCIA"
"3609"|"ES24"|"20619"|"CARIÑENA"
"2504"|"ES24"|"20504"|"SASTAGO"
"2517"|"ES24"|"20517"|"SAN JOSE NORTE"
"2505"|"ES24"|"20505"|"REBOLERIA"
